GameID,MatchID,Map,Team1ID,Team2ID,Team1,Team2,Winner,Team1_TotalRounds,Team2_TotalRounds,Team1_SideFirstHalf,Team2_SideFirstHalf,Team1_RoundsFirstHalf,Team1_RoundsSecondtHalf,Team1_RoundsOT,Team2_RoundsFirstHalf,Team2_RoundsSecondtHalf,Team2_RoundsOT,Team1_PistolWon,Team1_Eco,Team1_EcoWon,Team1_SemiEco,Team1_SemiEcoWon,Team1_SemiBuy,Team1_SemiBuyWon,Team1_FullBuy,Team1_FullBuyWon,Team2_PistolWon,Team2_Eco,Team2_EcoWon,Team2_SemiEco,Team2_SemiEcoWon,Team2_SemiBuy,Team2_SemiBuyWon,Team2_FullBuy,Team2_FullBuyWon
12161,7218,Haven,1791,1253,FTW Esports,Eazy One Gaming,Eazy One Gaming,6,13,attack,defend,6,0,0,6,7,0,0.0,3.0,0.0,2.0,0.0,4.0,1.0,10.0,5.0,2.0,2.0,2.0,2.0,0.0,5.0,4.0,10.0,7.0
12162,7218,Bind,1791,1253,FTW Esports,Eazy One Gaming,FTW Esports,13,1,defend,attack,11,2,0,1,0,0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,9.0,8.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,4.0,1.0
12157,7217,Haven,1317,4538,Team White,Team Queso,Team Queso,6,13,defend,attack,4,2,0,8,5,0,1.0,5.0,1.0,2.0,0.0,4.0,1.0,8.0,4.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,14.0,10.0
12158,7217,Split,1317,4538,Team White,Team Queso,Team White,13,6,attack,defend,10,3,0,2,4,0,2.0,3.0,3.0,0.0,0.0,5.0,2.0,11.0,8.0,0.0,3.0,0.0,4.0,2.0,4.0,1.0,8.0,3.0
12159,7217,Ascent,1317,4538,Team White,Team Queso,Team Queso,7,13,attack,defend,5,2,0,7,6,0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,14.0,7.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,14.0,8.0
12210,7245,Haven,283,1732,Sengoku Gaming,Novagis Gaming,Sengoku Gaming,13,4,defend,attack,8,5,0,4,0,0,2.0,2.0,2.0,0.0,0.0,7.0,6.0,8.0,5.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,10.0,4.0
12211,7245,Bind,283,1732,Sengoku Gaming,Novagis Gaming,Novagis Gaming,9,13,defend,attack,6,3,0,6,7,0,1.0,3.0,1.0,1.0,0.0,7.0,3.0,11.0,5.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,15.0,9.0
12212,7245,Split,283,1732,Sengoku Gaming,Novagis Gaming,Novagis Gaming,10,13,attack,defend,3,7,0,9,4,0,1.0,3.0,1.0,3.0,0.0,4.0,3.0,13.0,6.0,1.0,4.0,1.0,1.0,0.0,4.0,4.0,14.0,8.0
12193,7234,Ascent,1731,263,Nester,AVALON Gaming,Nester,13,0,attack,defend,12,1,0,0,0,0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,9.0,9.0,0.0,3.0,0.0,1.0,0.0,5.0,0.0,4.0,0.0
12195,7236,Split,513,183,BlackBird Ignis,SunSister Rapid,BlackBird Ignis,13,5,defend,attack,9,4,0,3,2,0,1.0,3.0,1.0,0.0,0.0,4.0,4.0,11.0,8.0,1.0,3.0,1.0,2.0,0.0,6.0,3.0,7.0,1.0
12196,7237,Bind,516,650,FAV gaming,Connect Gaming,FAV gaming,13,11,attack,defend,5,8,0,7,4,0,1.0,3.0,1.0,3.0,1.0,5.0,4.0,13.0,7.0,1.0,3.0,1.0,1.0,0.0,7.0,3.0,13.0,7.0
12303,7322,Ascent,641,1234,Entropiq Bravo,Team Sampi,Entropiq Bravo,13,9,attack,defend,4,9,0,8,1,0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,16.0,11.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,13.0,6.0
12304,7322,Split,641,1234,Entropiq Bravo,Team Sampi,Entropiq Bravo,13,3,defend,attack,9,4,0,3,0,0,2.0,2.0,2.0,0.0,0.0,4.0,3.0,10.0,8.0,0.0,3.0,0.0,2.0,0.0,6.0,2.0,5.0,1.0
12154,7216,Bind,2499,1810,Movistar Riders,Grow uP eSports,Movistar Riders,13,2,defend,attack,11,2,0,1,1,0,2.0,2.0,2.0,0.0,0.0,4.0,3.0,9.0,8.0,0.0,3.0,0.0,2.0,0.0,4.0,2.0,6.0,0.0
12155,7216,Ascent,2499,1810,Movistar Riders,Grow uP eSports,Movistar Riders,13,6,defend,attack,6,7,0,6,0,0,2.0,2.0,2.0,1.0,0.0,5.0,3.0,11.0,8.0,0.0,4.0,0.0,2.0,1.0,3.0,0.0,10.0,5.0
12301,7320,Ascent,641,965,Entropiq Bravo,Květinky,Entropiq Bravo,13,4,defend,attack,10,3,0,2,2,0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,12.0,10.0,1.0,3.0,1.0,2.0,0.0,6.0,3.0,6.0,0.0
12302,7321,Haven,1234,1010,Team Sampi,Inside Games,Team Sampi,13,7,attack,defend,6,7,0,6,1,0,1.0,2.0,1.0,0.0,0.0,6.0,6.0,12.0,6.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,10.0,4.0
12297,7316,Haven,641,1082,Entropiq Bravo,Kamil Klein new chapter,Entropiq Bravo,13,7,defend,attack,8,5,0,4,3,0,2.0,2.0,2.0,0.0,0.0,5.0,2.0,13.0,9.0,0.0,4.0,0.0,1.0,0.0,4.0,1.0,11.0,6.0
12300,7319,Bind,1010,1250,Inside Games,Winfinity,Inside Games,13,8,defend,attack,6,7,0,6,2,0,1.0,3.0,1.0,2.0,0.0,3.0,2.0,13.0,10.0,1.0,3.0,1.0,1.0,0.0,6.0,2.0,11.0,5.0
12151,7215,Bind,548,1191,Wygers,doneVAL,Wygers,13,11,defend,attack,7,6,0,5,6,0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,16.0,10.0,1.0,2.0,1.0,2.0,0.0,9.0,6.0,11.0,4.0
