Winning team,Winning team score,Losing team,Losing team score,Map,Player,ACS,Kills,Deaths,Assists,KAST,ADR
Akrew,2,Sentinels,0,2 Bind,TenZ,235,23,/ 18 /,6,68%,157
Sentinels,2,Clanless,0,1 Ascent,TenZ,281,22,/ 15 /,5,73%,180
Sentinels,2,Clanless,0,2 Bind,TenZ,269,20,/ 11 /,4,85%,180
Luminosity,2,Sentinels,1,1 Bind,TenZ,210,17,/ 15 /,4,65%,129
Luminosity,2,Sentinels,1,2 Fracture,TenZ,324,27,/ 17 /,6,78%,193
Luminosity,2,Sentinels,1,3 Split,TenZ,319,19,/ 16 /,4,68%,194
Sentinels,2,NYFU,1,1 Split,TenZ,189,14,/ 16 /,7,61%,133
Sentinels,2,NYFU,1,2 Haven,TenZ,386,24,/ 9 /,3,82%,265
Sentinels,2,NYFU,1,3 Bind,TenZ,237,18,/ 17 /,8,78%,164
FaZe Clan,2,Sentinels,1,1 Ascent,TenZ,268,18,/ 16 /,5,75%,171
FaZe Clan,2,Sentinels,1,2 Bind,TenZ,299,21,/ 12 /,4,95%,187
FaZe Clan,2,Sentinels,1,3 Haven,TenZ,304,24,/ 19 /,12,79%,194
Sentinels,2,Akrew,1,1 Split,TenZ,166,8,/ 15 /,4,72%,114
Sentinels,2,Akrew,1,2 Bind,TenZ,291,20,/ 13 /,5,80%,176
Sentinels,2,Akrew,1,3 Ascent,TenZ,254,23,/ 19 /,2,74%,144
Sentinels,2,PUGSTARS,0,1 Ascent,TenZ,246,14,/ 7 /,1,86%,156
Sentinels,2,PUGSTARS,0,2 Bind,TenZ,236,15,/ 11 /,7,72%,172
Version1,2,Sentinels,1,1 Haven,TenZ,413,31,/ 9 /,2,80%,259
Version1,2,Sentinels,1,2 Ascent,TenZ,196,14,/ 18 /,6,50%,126
Version1,2,Sentinels,1,3 Fracture,TenZ,284,19,/ 19 /,8,71%,187
The Guard,2,Sentinels,0,1 Bind,TenZ,207,13,/ 13 /,4,63%,149
The Guard,2,Sentinels,0,2 Icebox,TenZ,108,3,/ 13 /,3,57%,85
Version1,2,Sentinels,0,1 Ascent,TenZ,146,8,/ 16 /,5,47%,94
Version1,2,Sentinels,0,2 Haven,TenZ,122,10,/ 19 /,2,58%,78
Sentinels,2,Rise,1,1 Haven,TenZ,158,8,/ 18 /,7,59%,122
Sentinels,2,Rise,1,2 Fracture,TenZ,199,19,/ 19 /,4,71%,140
Sentinels,2,Rise,1,3 Bind,TenZ,242,18,/ 13 /,6,90%,179
OpTic Gaming,2,Sentinels,1,1 Bind,TenZ,154,7,/ 14 /,2,53%,106
OpTic Gaming,2,Sentinels,1,2 Fracture,TenZ,277,21,/ 17 /,7,70%,175
OpTic Gaming,2,Sentinels,1,3 Icebox,TenZ,182,13,/ 17 /,8,73%,121
Sentinels,2,Knights,1,1 Ascent,TenZ,210,20,/ 21 /,7,71%,145
Sentinels,2,Knights,1,2 Bind,TenZ,312,23,/ 11 /,3,100%,204
Sentinels,2,Knights,1,3 Haven,TenZ,295,22,/ 12 /,3,71%,176
Sentinels,2,NRG Esports,1,1 Fracture,TenZ,205,18,/ 14 /,5,78%,128
Sentinels,2,NRG Esports,1,2 Haven,TenZ,283,25,/ 18 /,2,71%,175
Sentinels,2,NRG Esports,1,3 Bind,TenZ,306,23,/ 15 /,3,68%,185
KRÜ Esports,2,Sentinels,1,1 Fracture,TenZ,202,13,/ 12 /,6,75%,136
KRÜ Esports,2,Sentinels,1,2 Haven,TenZ,234,18,/ 15 /,6,75%,163
KRÜ Esports,2,Sentinels,1,3 Split,TenZ,119,9,/ 20 /,7,54%,92
Team Liquid,2,Sentinels,1,1 Breeze,TenZ,163,14,/ 21 /,4,50%,110
Team Liquid,2,Sentinels,1,2 Bind,TenZ,369,21,/ 6 /,2,80%,211
Team Liquid,2,Sentinels,1,3 Split,TenZ,141,12,/ 20 /,2,65%,102
Sentinels,2,FURIA,1,1 Ascent,TenZ,262,21,/ 16 /,5,77%,179
