Agent,Player team,Opposite team,Winning team,Winning team score,Losing team,Losing team score,Map,Player,ACS,Kills,Deaths,Assists,KAST,ADR
raze,Sentinels,Version1,Version1,2,Sentinels,1,3 Fracture,TenZ,284,19,/ 19 /,8,71%,187
jett,Sentinels,The Guard,The Guard,2,Sentinels,0,1 Bind,TenZ,207,13,/ 13 /,4,63%,149
jett,Sentinels,The Guard,The Guard,2,Sentinels,0,2 Icebox,TenZ,108,3,/ 13 /,3,57%,85
jett,Sentinels,Version1,Version1,2,Sentinels,0,1 Ascent,TenZ,146,8,/ 16 /,5,47%,94
jett,Sentinels,Version1,Version1,2,Sentinels,0,2 Haven,TenZ,122,10,/ 19 /,2,58%,78
jett,Sentinels,Rise,Sentinels,2,Rise,1,1 Haven,TenZ,158,8,/ 18 /,7,59%,122
jett,Sentinels,Rise,Sentinels,2,Rise,1,2 Fracture,TenZ,199,19,/ 19 /,4,71%,140
jett,Sentinels,Rise,Sentinels,2,Rise,1,3 Bind,TenZ,242,18,/ 13 /,6,90%,179
jett,Sentinels,OpTic Gaming,OpTic Gaming,2,Sentinels,1,1 Bind,TenZ,154,7,/ 14 /,2,53%,106
jett,Sentinels,OpTic Gaming,OpTic Gaming,2,Sentinels,1,2 Fracture,TenZ,277,21,/ 17 /,7,70%,175
jett,Sentinels,OpTic Gaming,OpTic Gaming,2,Sentinels,1,3 Icebox,TenZ,182,13,/ 17 /,8,73%,121
jett,Sentinels,Knights,Sentinels,2,Knights,1,1 Ascent,TenZ,210,20,/ 21 /,7,71%,145
jett,Sentinels,Knights,Sentinels,2,Knights,1,2 Bind,TenZ,312,23,/ 11 /,3,100%,204
jett,Sentinels,Knights,Sentinels,2,Knights,1,3 Haven,TenZ,295,22,/ 12 /,3,71%,176
jett,Sentinels,NRG Esports,Sentinels,2,NRG Esports,1,1 Fracture,TenZ,205,18,/ 14 /,5,78%,128
jett,Sentinels,NRG Esports,Sentinels,2,NRG Esports,1,2 Haven,TenZ,283,25,/ 18 /,2,71%,175
jett,Sentinels,NRG Esports,Sentinels,2,NRG Esports,1,3 Bind,TenZ,306,23,/ 15 /,3,68%,185
jett,Sentinels,KRÜ Esports,KRÜ Esports,2,Sentinels,1,1 Fracture,TenZ,202,13,/ 12 /,6,75%,136
jett,Sentinels,KRÜ Esports,KRÜ Esports,2,Sentinels,1,2 Haven,TenZ,234,18,/ 15 /,6,75%,163
