Map,Player,ACS,Kills,Deaths,Assists,KAST,ADR
1 Split,TenZ,169,11,/ 10 /,4,+1,79%
2 Icebox,TenZ,327,24,/ 14 /,4,+10,90%
3 Haven,TenZ,249,19,/ 8 /,2,+11,86%
1 Bind,TenZ,289,26,/ 14 /,6,+12,75%
2 Breeze,TenZ,265,22,/ 17 /,2,+5,67%
3 Haven,TenZ,164,11,/ 11 /,3,0,68%
4 Split,TenZ,250,14,/ 13 /,9,+1,83%
1 Split,TenZ,246,14,/ 2 /,5,+12,93%
2 Haven,TenZ,233,20,/ 14 /,5,+6,81%
1 Icebox,TenZ,333,29,/ 17 /,5,+12,67%
2 Haven,TenZ,208,16,/ 21 /,8,-5,63%
1 Breeze,TenZ,188,12,/ 8 /,2,+4,75%
2 Ascent,TenZ,132,10,/ 16 /,3,-6,55%
3 Bind,TenZ,339,21,/ 9 /,8,+12,88%
1 Haven,TenZ,186,13,/ 19 /,7,-6,59%
2 Breeze,TenZ,244,17,/ 11 /,7,+6,90%
3 Icebox,TenZ,267,23,/ 19 /,2,+4,54%
4 Ascent,TenZ,370,30,/ 17 /,5,+13,65%
1 Haven,TenZ,312,30,/ 18 /,9,+12,86%
2 Breeze,TenZ,285,20,/ 14 /,8,+6,81%
1 Breeze,TenZ,160,13,/ 16 /,1,-3,48%
2 Bind,TenZ,347,25,/ 12 /,6,+13,95%
1 Haven,TenZ,325,26,/ 15 /,1,+11,77%
2 Bind,TenZ,331,21,/ 10 /,7,+11,89%
1 Haven,TenZ,233,19,/ 16 /,0,+3,59%
2 Icebox,TenZ,377,31,/ 15 /,6,+16,88%
3 Split,TenZ,239,17,/ 16 /,3,+1,62%
1 Bind,TenZ,213,20,/ 19 /,2,+1,63%
2 Icebox,TenZ,310,24,/ 13 /,3,+11,75%
3 Haven,TenZ,216,16,/ 17 /,3,-1,64%
1 Icebox,TenZ,198,12,/ 16 /,5,-4,65%
2 Bind,TenZ,191,12,/ 14 /,5,-2,72%
3 Haven,TenZ,356,21,/ 12 /,4,+9,83%
1 Icebox,TenZ,303,24,/ 16 /,8,+8,87%
2 Haven,TenZ,345,24,/ 14 /,4,+10,79%
1 Split,TenZ,268,24,/ 22 /,8,+2,77%
2 Bind,TenZ,323,33,/ 19 /,13,+14,93%
3 Haven,TenZ,277,22,/ 20 /,4,+2,75%
1 Bind,TenZ,273,19,/ 12 /,7,+7,89%
2 Haven,TenZ,296,19,/ 10 /,2,+9,88%
1 Icebox,TenZ,266,19,/ 13 /,4,+6,70%
2 Haven,TenZ,309,21,/ 9 /,2,+12,84%
1 Icebox,TenZ,277,25,/ 18 /,7,+7,75%
2 Haven,TenZ,316,24,/ 16 /,8,+8,78%
1 Bind,TenZ,253,18,/ 12 /,4,+6,81%
2 Haven,TenZ,260,21,/ 13 /,4,+8,64%
3 Icebox,TenZ,285,22,/ 19 /,5,+3,59%
1 Haven,TenZ,244,19,/ 16 /,7,+3,71%
2 Split,TenZ,141,6,/ 15 /,2,-9,36%
3 Icebox,TenZ,244,17,/ 11 /,3,+6,68%
1 Haven,TenZ,224,20,/ 17 /,4,+3,71%
2 Icebox,TenZ,143,7,/ 15 /,4,-8,50%
3 Bind,TenZ,352,20,/ 10 /,8,+10,82%
1 Ascent,TenZ,151,8,/ 16 /,3,-8,47%
2 Haven,TenZ,257,16,/ 12 /,5,+4,74%
3 Split,TenZ,218,11,/ 17 /,5,-6,63%
1 Bind,TenZ,346,22,/ 11 /,6,+11,82%
2 Haven,TenZ,267,18,/ 11 /,8,+7,84%
3 Split,TenZ,232,20,/ 20 /,8,0,77%
1 Split,TenZ,251,18,/ 11 /,5,+7,85%
2 Ascent,TenZ,224,24,/ 24 /,9,0,75%
1 Haven,TenZ,211,16,/ 18 /,3,-2,65%
2 Ascent,TenZ,152,8,/ 15 /,4,-7,41%
3 Split,TenZ,423,30,/ 10 /,6,+20,79%
1 Haven,TenZ,322,30,/ 16 /,5,+14,77%
2 Ascent,TenZ,238,15,/ 13 /,6,+2,79%
1 Haven,TenZ,,17,/ 19 /,2,-2,
2 Split,TenZ,272,19,/ 17 /,7,+2,87%
3 Icebox,TenZ,198,13,/ 18 /,9,-5,74%
1 Haven,TenZ,342,32,/ 20 /,8,+12,68%
2 Split,TenZ,182,13,/ 21 /,5,-8,58%
1 Haven,TenZ,268,19,/ 15 /,3,+4,79%
2 Ascent,TenZ,257,19,/ 14 /,5,+5,80%
1 Ascent,TenZ,209,14,/ 8 /,2,+6,69%
2 Haven,TenZ,198,14,/ 14 /,6,0,73%
1 Ascent,TenZ,288,17,/ 9 /,3,+8,80%
2 Icebox,TenZ,299,20,/ 14 /,6,+6,75%
1 Haven,TenZ,247,14,/ 7 /,2,+7,87%
2 Split,TenZ,364,26,/ 9 /,6,+17,84%
1 Haven,TenZ,368,20,/ 5 /,6,+15,93%
2 Icebox,TenZ,328,19,/ 12 /,6,+7,78%
1 Ascent,TenZ,172,10,/ 15 /,0,-5,44%
2 Haven,TenZ,189,11,/ 16 /,3,-5,72%
1 Icebox,TenZ,213,13,/ 22 /,10,-9,70%
2 Split,TenZ,352,18,/ 6 /,3,+12,92%
1 Split,TenZ,301,14,/ 6 /,5,+8,86%
2 Icebox,TenZ,232,11,/ 10 /,10,+1,75%
1 Ascent,TenZ,378,22,/ 5 /,4,+17,93%
2 Haven,TenZ,283,15,/ 8 /,5,+7,87%
1 Ascent,TenZ,240,18,/ 18 /,4,0,
2 Bind,TenZ,260,18,/ 11 /,9,+7,
3 Haven,TenZ,235,17,/ 7 /,1,+10,
1 Icebox,TenZ,337,21,/ 10 /,4,+11,
2 Haven,TenZ,235,18,/ 13 /,4,+5,
1 Ascent,TenZ,285,15,/ 10 /,5,+5,
2 Haven,TenZ,236,25,/ 16 /,3,+9,
1 Ascent,TenZ,298,21,/ 18 /,6,+3,
2 Split,TenZ,284,21,/ 21 /,9,0,
3 Icebox,TenZ,427,27,/ 15 /,9,+12,
1 Ascent,TenZ,151,10,/ 19 /,8,-9,
2 Bind,TenZ,300,23,/ 15 /,3,+8,
1 Bind,TenZ,,,/   /,,,
2 Split,TenZ,320,24,/ 14 /,3,+10,
3 Ascent,TenZ,311,23,/ 14 /,9,+9,
1 Ascent,TenZ,305,25,/ 16 /,5,+9,
2 Split,TenZ,294,27,/ 19 /,3,+8,
1 Bind,TenZ,247,21,/ 15 /,3,+6,
2 Ascent,TenZ,262,23,/ 16 /,7,+7,
1 Split,TenZ,220,23,/ 23 /,8,0,
2 Ascent,TenZ,232,18,/ 19 /,9,-1,
1 Bind,TenZ,357,27,/ 12 /,2,+15,
2 Ascent,TenZ,258,17,/ 15 /,1,+2,
3 Split,TenZ,283,22,/ 13 /,6,+9,
1 Bind,TenZ,183,13,/ 11 /,3,+2,
2 Ascent,TenZ,334,21,/ 11 /,4,+10,
1 Ascent,TenZ,250,23,/ 16 /,1,+7,
2 Split,TenZ,403,29,/ 11 /,5,+18,
3 Bind,TenZ,295,20,/ 10 /,7,+10,
1 Ascent,TenZ,345,23,/ 15 /,6,+8,
2 Bind,TenZ,280,28,/ 22 /,9,+6,
3 Split,TenZ,239,19,/ 17 /,7,+2,
1 Ascent,TenZ,467,25,/ 7 /,3,+18,
2 Haven,TenZ,231,18,/ 16 /,1,+2,
3 Split,TenZ,371,22,/ 8 /,9,+14,
1 Ascent,TenZ,373,27,/ 16 /,5,+11,
2 Haven,TenZ,250,21,/ 15 /,4,+6,
3 Split,TenZ,245,17,/ 11 /,7,+6,
1 Haven,TenZ,310,20,/ 8 /,2,+12,
2 Ascent,TenZ,348,26,/ 16 /,5,+10,
1 Haven,TenZ,194,14,/ 12 /,2,+2,
2 Ascent,TenZ,434,21,/ 3 /,3,+18,
1 Haven,TenZ,238,17,/ 11 /,4,+6,
2 Ascent,TenZ,269,19,/ 14 /,5,+5,
1 Haven,TenZ,255,24,/ 14 /,2,+10,
2 Ascent,TenZ,313,23,/ 15 /,5,+8,
1 Ascent,TenZ,113,9,/ 18 /,4,-9,
2 Split,TenZ,313,28,/ 15 /,4,+13,
3 Haven,TenZ,196,19,/ 23 /,8,-4,
1 Ascent,TenZ,322,23,/ 20 /,5,+3,
2 Bind,TenZ,297,22,/ 10 /,4,+12,
1 Ascent,TenZ,240,13,/ 13 /,6,0,
2 Haven,TenZ,306,22,/ 12 /,6,+10,
1 Ascent,TenZ,282,23,/ 15 /,8,+8,
2 Split,TenZ,284,19,/ 16 /,3,+3,
1 Split,TenZ,271,23,/ 15 /,8,+8,
2 Bind,TenZ,357,22,/ 14 /,3,+8,
3 Haven,TenZ,312,26,/ 19 /,6,+7,
1 Split,TenZ,314,18,/ 16 /,2,+2,
2 Ascent,TenZ,232,20,/ 15 /,5,+5,
3 Haven,TenZ,253,24,/ 19 /,9,+5,
1 Haven,TenZ,307,16,/ 6 /,7,+10,
2 Ascent,TenZ,194,13,/ 16 /,6,-3,
1 Split,TenZ,258,18,/ 15 /,5,+3,
2 Ascent,TenZ,333,23,/ 13 /,5,+10,
3 Bind,TenZ,272,18,/ 9 /,4,+9,
1 Ascent,TenZ,249,27,/ 20 /,2,+7,
2 Bind,TenZ,239,15,/ 15 /,4,0,
3 Haven,TenZ,307,27,/ 16 /,0,+11,
1 Haven,TenZ,194,9,/ 15 /,2,-6,
2 Ascent,TenZ,231,17,/ 17 /,4,0,
3 Split,TenZ,327,25,/ 15 /,1,+10,
1 Split,TenZ,288,23,/ 20 /,8,+3,
2 Ascent,TenZ,228,15,/ 15 /,5,0,
3 Bind,TenZ,256,15,/ 14 /,5,+1,
1 Haven,TenZ,,13,/ 17 /,3,-4,
2 Split,TenZ,222,15,/ 22 /,8,-7,
3 Bind,TenZ,435,28,/ 10 /,7,+18,
1 Ascent,TenZ,281,22,/ 16 /,4,+6,
2 Haven,TenZ,365,25,/ 13 /,4,+12,
1 Ascent,TenZ,326,25,/ 23 /,5,+2,
2 Haven,TenZ,339,21,/ 15 /,6,+6,
3 Bind,TenZ,268,20,/ 18 /,4,+2,
4 Split,TenZ,246,16,/ 17 /,2,-1,
1 Bind,TenZ,279,21,/ 14 /,7,+7,
2 Ascent,TenZ,259,16,/ 12 /,9,+4,
1 Ascent,TenZ,303,21,/ 13 /,8,+8,
2 Bind,TenZ,342,23,/ 19 /,8,+4,
1 Haven,TenZ,318,21,/ 11 /,6,+10,
2 Ascent,TenZ,309,20,/ 7 /,1,+13,
1 Ascent,TenZ,282,21,/ 16 /,4,+5,
2 Bind,TenZ,190,14,/ 19 /,2,-5,
1 Ascent,TenZ,340,22,/ 15 /,5,+7,
2 Split,TenZ,176,9,/ 15 /,2,-6,
3 Bind,TenZ,406,25,/ 16 /,5,+9,
1 Ascent,TenZ,461,24,/ 11 /,2,+13,
2 Haven,TenZ,439,30,/ 6 /,2,+24,
1 Split,TenZ,253,17,/ 13 /,5,+4,
2 Bind,TenZ,406,25,/ 11 /,9,+14,
1 Haven,TenZ,241,19,/ 21 /,5,-2,
2 Ascent,TenZ,236,19,/ 14 /,6,+5,
1 Haven,TenZ,391,24,/ 13 /,3,+11,
2 Ascent,TenZ,370,20,/ 5 /,2,+15,
1 Bind,TenZ,184,10,/ 15 /,5,-5,
2 Ascent,TenZ,228,14,/ 17 /,2,-3,
1 Ascent,TenZ,318,23,/ 15 /,0,+8,
2 Bind,TenZ,332,20,/ 10 /,3,+10,
1 Ascent,TenZ,455,24,/ 5 /,3,+19,
2 Bind,TenZ,201,15,/ 16 /,1,-1,
3 Haven,TenZ,331,27,/ 16 /,3,+11,
1 Bind,TenZ,365,30,/ 15 /,1,+15,
2 Haven,TenZ,298,26,/ 19 /,4,+7,
3 Ascent,TenZ,368,19,/ 9 /,3,+10,
1 Bind,TenZ,214,19,/ 15 /,4,+4,
2 Bind,TenZ,232,15,/ 14 /,2,+1,
1 Haven,TenZ,451,39,/ 16 /,2,+23,
2 Split,TenZ,207,16,/ 18 /,4,-2,
1 Ascent,TenZ,263,20,/ 18 /,6,+2,
2 Bind,TenZ,286,17,/ 16 /,3,+1,
1 Split,TenZ,292,24,/ 16 /,3,+8,
2 Bind,TenZ,278,15,/ 13 /,7,+2,
1 Bind,TenZ,460,36,/ 18 /,10,+18,
2 Split,TenZ,377,21,/ 13 /,2,+8,
3 Ascent,TenZ,409,34,/ 17 /,4,+17,
