MatchID,Date,Patch,EventID,EventName,EventStage,Team1ID,Team2ID,Team1,Team2,Team1_MapScore,Team2_MapScore
29488,2021-07-26 16:00:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Group Stage: Opening (D),4688,4851,Fenrir,TLP Monkies,1,0
29503,2021-07-26 16:00:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Group Stage: Opening (G),3337,5772,Team Basilisk,Benchwarmers,1,0
29508,2021-07-26 16:00:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Group Stage: Opening (H),5248,5923,Evil Geniuses,Big Baller Brand,1,0
27833,2021-07-25 19:30:00,Patch 3.01,615,Super League Arena II,Tournament: Semifinals,2348,2377,VIRTUOSO,Brimstone Gaming,2,1
26918,2021-07-25 18:45:00,Patch 3.01,534,Champions Tour Brazil Stage 3: Challengers 2,Main Event: Decider (B),243,2428,Gamelanders Blue,SLICK,2,0
27685,2021-07-25 15:00:00,Patch 3.01,517,Champions Tour LATAM Stage 3: Challengers 2,Main Event: LAS: Lower Final,367,2354,9z Team,Movistar Optix,2,0
28341,2021-07-25 15:00:00,Patch 3.01,576,Champions Tour North America Stage 3: Challengers 2,Open Qualifier: Quarterfinals,14,473,T1,Built By Gamers,2,0
28809,2021-07-25 09:30:00,Patch 3.02,557,Valorant Conquerors Championship,Sri Lanka and Maldives Qualifier: Grand Final,5902,5907,Crash Landin on You,Lexious Gaming,3,2
22611,2021-07-25 06:00:00,,566,Champions Tour Thailand Stage 3: Challengers 2,Main Event: Grand Finals,4050,4993,FULL SENSE,FW Esports,3,1
28566,2021-07-25 05:40:00,Patch 3.01,611,Champions Tour Indonesia Stage 3: Challengers 2,Main Event: Grand Final,1110,466,Alter Ego,BOOM Esports,3,2
27497,2021-07-25 05:00:55,Patch 3.01,556,ImbaTV Fearless Invitational Cup,Main Event: Grand Final,1211,5443,Totoro Gaming,KONE,3,1
27303,2021-07-25 05:00:00,Patch 3.01,595,Champions Tour Korea Stage 3: Challengers ,Group Stage (Main): Winner's (D),2328,5346,NUTURN,Alpha Six Gaming,2,0
27427,2021-07-25 05:00:00,Patch 3.0,573,Champions Tour Hong Kong & Taiwan Stage 3: Challengers 2,Main Event: Grand Final,904,3734,CBT Gaming,Five Ace e-Sports,3,0
